Age,Gender,Income,NumWebsiteVisits,NumProductsViewed,LoyaltyMember,PreferredChannel,PastMonthPurchase,CustomerLifetimeValue
36,Male,181429,16,34,No,Phone,7335.266937334371,1713.3536080092194
38,Female,32260,2,29,Yes,SMS,5796.3254700648495,5866.583256565435
64,Male,171590,24,47,No,SMS,8158.997556013927,2427.2391292906086
62,Female,68390,49,38,No,Phone,18.9105669142986,819.0586421346494
41,Male,186909,28,55,Yes,App,6728.666366706346,6822.772719534369
50,Female,184825,22,41,Yes,Phone,9287.660486280198,3842.972285328782
34,Male,96928,43,93,Yes,SMS,6896.326855986249,5366.304834717876
58,Female,120685,7,13,Yes,Email,9268.205993909549,4838.940414703315
22,Male,82393,37,13,No,Phone,8359.814764327459,1939.2337860074344
23,Male,102877,16,12,Yes,App,3378.8840321046687,3413.2622619087842
65,Female,24064,9,37,Yes,Email,4175.41321292148,4521.291577242565
24,Female,43109,33,19,Yes,Phone,9668.580756153866,4314.931639723652
34,Male,81022,32,53,No,App,1980.467946579788,2854.8770704055405
68,Female,132637,38,34,No,Phone,9526.989558112547,3233.7688909783838
25,Female,79452,11,15,Yes,Email,2447.7095068383715,2837.5389207034873
40,Male,11755,30,78,Yes,Phone,9284.653727398205,7798.504046554186
31,Male,180118,2,39,Yes,App,6537.710879954143,5176.1484434629
68,Male,172888,30,85,Yes,App,4890.418050583443,5557.393532754479
68,Female,171917,34,73,Yes,Email,4921.339905482984,5363.661724881439
55,Female,20775,36,8,No,Email,4151.616470806713,1503.572823569693
39,Female,185103,16,8,Yes,SMS,3563.0477557754493,2966.01059344622
65,Female,103659,21,77,No,App,8944.925822130159,5670.838421827753
20,Male,84816,34,18,No,Phone,7909.750561964362,3229.0011688722384
24,Female,34668,37,46,No,SMS,385.2288240991486,870.5941862292088
19,Female,139570,9,29,No,App,3317.1824551009277,1892.6134977092352
37,Female,181482,9,91,Yes,Email,1335.1058552573625,3494.2701419541627
61,Female,102228,44,89,Yes,Email,454.5768073640677,2334.536487396581
23,Female,70596,16,62,Yes,App,489.2672284475041,3429.1308018233153
28,Female,92219,36,37,Yes,Email,1761.8653435299857,3846.186630944614
64,Male,27691,9,84,Yes,Phone,8912.94071830125,6364.391524809271
30,Male,65934,14,33,Yes,SMS,235.48194602080352,2286.660339373751
22,Female,54319,1,38,No,SMS,968.2730821668329,8.64026569198063
44,Female,39633,5,38,No,SMS,1596.984477350709,978.1228798409384
27,Female,89779,24,99,Yes,Email,6036.498365032944,4516.356762832897
47,Male,56935,18,2,No,Phone,3017.064177116261,2078.1501882100088
61,Female,182596,17,17,No,SMS,9803.780530869806,4075.584137159213
21,Female,121398,23,33,Yes,Email,6737.709225590502,4131.25281498963
40,Female,94570,3,42,No,Email,1359.2321505820614,2695.0089340014183
51,Male,44579,6,59,No,SMS,6308.526507311744,4588.933462423785
48,Female,48823,34,2,Yes,Phone,2936.2483561214412,2914.139472425106
23,Female,198804,20,20,No,App,2567.277862408703,1522.1536985747277
55,Male,118609,18,55,No,Phone,5507.887933958126,3753.6297782507127
44,Male,119467,33,74,No,App,1771.5724505849762,2888.745569232478
58,Female,156091,40,98,Yes,SMS,7812.6806783894845,7035.377894971351
22,Male,75961,33,88,Yes,Phone,1112.1854090826578,3515.9768203898857
54,Male,99675,27,23,No,Email,4057.665989903726,1645.3263351521318
41,Male,123692,22,60,Yes,SMS,1262.4048809096355,2133.638884165145
33,Female,84106,49,77,No,SMS,3295.6129391276777,1721.7270560760417
20,Male,101901,45,41,Yes,Phone,9087.723382330754,4693.985596787123
45,Female,84932,2,51,Yes,Email,525.1936648235611,4358.5915309765
43,Male,172995,31,37,No,SMS,19.75833016200412,1331.1006110046799
60,Female,129773,29,54,No,App,6890.665211322486,2598.918770146881
55,Female,170667,18,10,No,Phone,7616.324499030667,2259.7912031047103
40,Female,108733,17,69,No,Phone,4873.881152970124,2670.8547325543946
50,Female,176956,45,60,No,App,8012.3205174969835,4663.076718551129
62,Male,16449,5,7,No,App,756.9361202152769,958.8504858505862
46,Male,155409,14,9,Yes,Email,1204.2424760588865,1504.2133553495014
68,Female,127897,31,95,Yes,Email,1311.3306707695594,3247.758979163087
33,Female,140638,44,26,Yes,SMS,550.0898727307668,3576.6491150262336
48,Male,84438,1,11,Yes,Phone,7961.73138510764,4676.324040921682
67,Male,173379,1,83,Yes,Email,1159.2045074757884,4341.114473234725
19,Male,148492,14,23,No,Phone,8233.449938872978,3793.3036346243584
64,Female,153319,32,73,Yes,App,965.6474003984739,6890.194384496974
58,Female,159347,22,94,No,Email,9434.894732605682,4671.184578487814
50,Female,66461,30,53,No,SMS,9810.80168106225,3295.871005896314
65,Female,135035,33,90,No,Email,1458.3691406415132,2952.1362850692585
57,Female,50184,25,30,No,App,7130.073349031844,2313.1630304912637
30,Male,37264,11,86,Yes,App,948.3289378432136,4796.024628810073
39,Male,39139,43,10,Yes,SMS,1917.2389963145886,6206.853435940133
55,Male,41703,43,77,No,Email,2212.6411714091764,2414.725621797478
28,Male,31584,34,36,No,SMS,5951.280466817549,4356.460395237937
59,Female,22544,17,52,Yes,SMS,7788.887977088067,3693.4705599457056
43,Female,19297,34,1,No,App,5226.1752650747485,1929.304180038129
18,Female,103875,3,88,Yes,App,5269.249749248382,4334.903446401933
48,Male,138908,13,77,No,App,739.5574159384599,269.7238975807238
44,Male,130363,19,95,No,Email,3158.875157663942,3136.095211651969
35,Male,162631,34,57,No,App,7087.9692633255,3100.114304070031
28,Male,134270,2,38,Yes,SMS,5892.070882908221,5814.7127321091
49,Female,26450,34,14,Yes,SMS,8593.540015312854,5312.72194522999
19,Male,107232,18,9,Yes,Phone,5609.42558442558,3141.276196715251
69,Female,79038,9,24,No,App,5146.800109143128,2658.1313660830733
49,Male,112390,8,72,Yes,App,4979.534762562989,4920.096498695257
23,Male,195910,22,90,Yes,Email,5634.52694262633,5083.049340971948
65,Female,88882,26,50,No,Phone,8896.620755108865,2582.1987541602684
28,Female,55070,21,69,Yes,Email,9676.76926172473,5562.575743594709
39,Male,147614,31,16,No,Phone,310.63107191180995,1175.4814893041369
35,Female,19846,24,44,Yes,App,8883.460979390022,5501.799627586935
44,Male,39544,47,65,No,SMS,6277.536972630805,2827.8566333397935
69,Female,31683,26,77,No,Email,4570.288532024984,3577.4869900811286
42,Male,16146,14,31,No,SMS,1453.8417558598649,132.7726543795054
54,Male,118259,30,89,No,Email,288.48703191468593,1186.890927879397
58,Female,133969,9,31,Yes,Phone,3674.386332797792,3723.858389968053
57,Female,177300,18,18,Yes,Phone,6741.201977567446,4185.418014536081
35,Female,170688,41,34,Yes,SMS,5767.94756438649,3899.1347015607084
45,Male,75384,37,64,No,App,4646.611163048863,2131.885195109135
55,Male,20713,7,36,Yes,Phone,6872.823240901258,5624.288059746166
30,Male,58434,48,50,Yes,App,450.27520637472395,2858.520043046365
63,Female,76875,29,91,Yes,Email,8860.27611491704,7799.66353766913
28,Female,148362,10,88,No,Email,6141.114172531893,2953.262413388616
19,Female,109350,33,45,Yes,SMS,7122.131134012988,4099.714700584749
54,Female,14262,32,24,No,Email,2226.9205393257816,930.005942681204
28,Male,89067,41,49,No,Phone,7200.648854286941,2634.475952269465
39,Male,31910,12,69,No,App,1587.1625112373933,610.7260675058751
46,Male,22036,22,44,Yes,Email,6214.574126880037,5151.389088647965
43,Female,52019,38,24,Yes,App,8331.249543874606,4322.922617913006
24,Female,81697,1,41,Yes,Phone,9892.155627958417,5062.2265535778715
54,Female,181257,38,24,No,App,9425.867873223666,3299.9975740081745
49,Female,177269,40,1,No,Email,1790.0403458433045,321.97388406887757
53,Female,167001,3,6,Yes,Phone,2419.1541088319714,3967.5273030906765
36,Male,34774,32,29,Yes,Phone,823.9092643769575,3810.2754634831927
49,Male,178946,1,94,Yes,App,3742.476788288254,5995.527346690732
60,Female,30086,8,10,No,SMS,1493.0302940602992,0.0
58,Male,167671,12,84,Yes,SMS,3953.884833507214,5531.044007195561
68,Male,152363,18,93,No,Phone,7488.413671416564,4320.983326802164
57,Male,122790,49,54,No,SMS,84.96300193909012,1015.6739124105495
21,Male,137603,32,47,No,Email,6101.235826625146,3885.310899866392
56,Female,24698,8,31,Yes,Phone,6672.989682226015,5400.35685525613
39,Female,15933,47,66,Yes,Email,8692.725715866452,6400.61742093059
24,Male,140187,27,25,No,Email,2576.0894419551028,1269.2530815853875
40,Male,52234,28,21,No,Email,4281.583483802647,1590.7679688764565
41,Male,91109,39,32,Yes,App,892.2171706163773,1567.7221167743608
25,Male,182917,4,61,No,App,6611.8184200832875,3512.259612161597
35,Female,167954,27,89,No,Email,2211.0389538602803,3949.875693756171
45,Male,159409,3,78,No,App,6599.084279768622,4529.4498715692025
18,Female,39916,18,63,Yes,Phone,4131.58400192097,3505.421964509365
37,Female,191978,13,25,No,SMS,8228.20888566595,3115.034160817604
19,Male,28504,40,79,No,Email,6524.415394453549,3556.0169440906316
63,Female,67396,17,65,No,Email,5534.772650661407,2678.123483828207
54,Female,154156,5,30,No,SMS,3047.275754758436,27.74321254616939
69,Male,165019,32,31,No,Email,980.9556091859217,536.9886058048548
30,Male,77502,48,94,Yes,Email,5876.692133570147,6585.763720644757
41,Male,68563,6,68,Yes,Phone,5403.67190080102,6451.395215596842
22,Female,192459,22,18,Yes,App,2024.0975403134044,2301.60954659694
41,Female,25454,35,90,No,App,9543.016225768324,5284.134198439109
35,Male,158181,41,60,No,Email,7337.268712599671,2794.417646051429
39,Female,165401,21,88,No,App,6069.0745776792655,3457.6385962788077
23,Male,37988,31,19,Yes,Phone,4909.757509779037,2462.351635426212
67,Male,167729,18,39,Yes,SMS,2049.1305423430504,4266.693786698114
39,Female,158093,17,77,Yes,Email,7415.935358570459,6514.890709395989
63,Female,92838,20,61,No,Email,7269.816541163743,3371.4361861139705
59,Female,19460,16,20,Yes,Phone,8662.234968268904,4387.778366331658
57,Female,142550,39,41,No,Email,1243.3046578827723,2467.4530803193766
44,Male,20066,5,25,Yes,SMS,3141.374752549998,3947.491393810966
39,Male,30263,6,10,Yes,SMS,7379.158543659509,3892.5510535443973
28,Female,126998,10,32,No,Email,5336.03577384403,2095.091766536663
48,Male,99770,41,21,Yes,Phone,7882.100144377885,7349.886877021761
35,Female,122189,43,76,No,Phone,8857.292287733428,2904.540553295721
23,Male,172401,21,75,Yes,Email,1036.2315803641386,3811.2434864458305
52,Male,182418,40,42,Yes,SMS,966.653684430856,2937.9242553045456
69,Female,194296,45,12,No,App,6706.636914516689,2435.8918198054153
33,Male,111559,33,25,Yes,App,5766.229896469161,4121.989369594459
45,Female,96459,11,97,Yes,Email,7309.20093447119,5020.040882045541
52,Male,61605,42,41,No,App,4049.19053686948,2902.629233267515
63,Female,51519,45,52,No,Email,7744.678615570461,3609.411955488315
68,Female,172502,3,47,Yes,Email,7205.234801099453,5933.085775848911
64,Female,11964,8,60,Yes,Email,2822.3631915500046,3078.6309718584052
30,Male,11252,17,56,Yes,Phone,9439.179565325805,5583.228599974095
23,Female,19399,38,33,Yes,SMS,7884.2196698770595,4763.995112195532
63,Female,90397,17,92,Yes,Email,417.1443104699557,2936.788343567126
40,Female,16052,24,66,No,App,3991.761585254622,2795.8818410469544
38,Female,152587,36,51,Yes,Email,5020.058687944469,3069.2628883437933
27,Male,104459,27,70,No,Phone,9293.96152130699,6195.352551652577
54,Male,192478,14,26,Yes,Phone,9359.074420541567,5467.902652116935
23,Female,193200,32,59,Yes,Email,4150.987405055349,6424.16827092263
41,Male,199646,23,91,Yes,SMS,9624.233300194484,5340.453191167105
63,Male,191713,41,73,No,App,3266.7119304806633,1888.1489718678185
46,Female,127068,3,7,No,Phone,5350.049202733711,1623.5343468316198
61,Male,110125,4,10,No,App,6417.1776511571625,2917.8365145072294
53,Male,156396,23,10,Yes,Phone,1792.4647728562447,4070.215409293447
67,Male,47814,45,46,No,Phone,3527.2670691551943,2671.1048226079433
25,Female,194513,41,65,No,SMS,3635.7825951768473,1770.7929339814582
50,Male,141946,10,20,No,Phone,3267.075605799429,1292.7718146491786
19,Male,84035,34,85,Yes,SMS,7483.104763054961,5739.293216496925
59,Female,140074,49,77,No,Phone,3901.828897555235,3374.3013780027773
39,Male,13645,48,71,No,Phone,3305.232887756101,3956.571432995161
20,Female,112577,26,12,No,SMS,1581.1484453998003,0.0
31,Male,193706,27,28,No,SMS,8700.697912688416,3240.4159304571126
31,Female,132693,41,56,No,Email,7751.431768282039,4606.369840502582
21,Female,66765,24,58,Yes,Phone,7460.84191396284,7139.887602001896
38,Female,128276,15,91,Yes,SMS,2672.722902017851,2237.5351606995164
37,Female,139430,34,94,Yes,Email,2871.491971143223,5409.873879094937
59,Female,197802,23,47,Yes,Email,8811.834056021542,4539.296278711263
66,Male,31546,32,10,No,SMS,9890.772030221819,2914.3106997747495
57,Female,154700,17,78,Yes,Email,310.14203019035125,4379.15082980907
18,Male,176519,20,26,No,Email,8011.395671736109,1770.6540853379615
31,Female,198565,30,26,No,App,9592.218400694552,2622.4659689994287
56,Female,185522,20,12,Yes,Phone,7350.00857948628,4117.870018485913
48,Female,55608,18,44,Yes,Email,6864.961359964283,4526.588895265859
25,Male,156111,4,2,Yes,SMS,8841.932003653572,3090.30786656452
61,Female,140738,3,89,No,App,4923.498652949088,3983.9716715326804
33,Female,46752,44,13,No,Email,6036.9240160803565,2777.0623234034333
48,Female,81720,20,97,No,SMS,1795.6875619059365,3025.125979297834
68,Female,52222,26,99,No,Email,746.3928172530032,1338.8734578741514
44,Female,154403,31,53,No,App,9709.994344488408,4088.1375225105503
23,Female,184787,49,25,Yes,Phone,4333.363338847055,4584.758476268449
36,Female,35964,13,56,Yes,Email,8991.681954486321,5127.869373741964
47,Male,17644,27,22,No,Email,7377.417544077517,1466.9820841155101
33,Male,181242,15,90,No,App,746.2858392695126,412.90270182534664
53,Female,61951,32,26,Yes,SMS,1907.418488409107,3524.7139141212483
61,Male,25568,42,5,No,SMS,8215.779219787893,4118.136441859655
29,Male,192083,8,93,No,App,5667.054881856878,5387.789464763266
30,Male,47558,1,61,Yes,SMS,4278.020122657646,3697.907529190913
56,Female,109344,42,94,Yes,SMS,5771.054363740979,6636.358007012127
66,Male,160790,6,65,No,App,8312.564744389158,4524.419473450831
53,Male,81972,22,77,No,SMS,8201.501638871961,4379.647457773107
36,Female,88871,17,22,Yes,Email,1021.5558368191702,3649.79545745624
65,Female,171403,18,61,Yes,App,8202.628408322846,7574.584068025168
50,Female,154815,1,67,No,App,407.4545812072816,1543.6382840703372
64,Male,194957,44,37,Yes,App,8533.020384729247,6247.117566402608
52,Male,128799,30,49,Yes,App,9333.468252259046,5084.652913509107
19,Female,81049,15,88,No,Email,9644.844116361981,4259.188042782348
51,Female,50609,8,41,Yes,Phone,7326.245373526408,5209.487147473746
26,Female,100996,28,56,No,App,5595.269544761319,3586.9661440713026
41,Male,31923,42,76,Yes,Email,4383.4688680205545,6213.699546144697
41,Male,173230,40,80,No,Phone,5952.09408718859,3502.7813893109173
44,Male,128908,5,81,No,App,10.788486615089798,165.87760350271424
69,Male,112095,14,15,No,App,1672.1360104832638,687.4648362762861
45,Female,145727,40,43,No,Phone,423.3850398292094,1180.1758364449822
59,Male,144667,9,62,No,Phone,6815.664160945847,1297.775921634859
45,Female,116408,6,40,No,App,9907.569500838817,4922.3075597196785
61,Female,13262,7,64,No,App,3050.5204085791484,4420.8573497332745
27,Male,86201,14,79,No,App,6751.564130777121,2708.4464001852502
35,Female,40476,31,79,No,App,5992.898282194767,3893.7036839266057
60,Female,168220,14,32,No,SMS,8611.284582667715,3967.3139184126394
53,Male,34056,9,49,Yes,Phone,821.2460881967531,3593.6935972840292
64,Male,23577,46,60,No,Email,5402.2292545556,2266.734442134162
19,Male,150694,21,5,No,App,6333.942716388728,3042.3460080352456
39,Male,34340,36,71,Yes,Phone,9627.27288181654,5758.556595406507
26,Male,176130,42,68,No,Phone,3905.000286217842,3671.84735171315
67,Female,45491,26,79,No,Phone,2132.4944187332408,3725.9672377247525
48,Male,137234,41,83,No,Email,6303.099569297727,4818.152614554288
34,Male,34916,10,72,Yes,SMS,2156.644112652879,3907.717139670153
60,Male,147544,41,59,No,SMS,5811.045217205611,2721.494518266631
36,Male,76720,40,8,Yes,SMS,2200.881418355215,3807.423047336396
23,Female,131320,12,77,No,Phone,8243.423322379716,4341.060370228327
42,Male,123535,15,46,Yes,Email,3474.789666086836,3366.0698359714766
18,Female,128055,13,92,No,Phone,3164.053403126089,2527.618007277867
24,Male,46163,42,51,No,Phone,3983.768733551567,3621.5729762404744
30,Female,110466,35,7,No,App,9047.816369479326,2738.833861828574
60,Female,139015,7,91,No,Phone,557.4382985232406,962.188101232467
23,Male,54528,21,97,No,SMS,569.7918014631431,1018.4137510109906
28,Female,117869,49,90,No,Phone,337.42008779929944,2100.877473448697
20,Male,92639,23,14,No,App,6006.414945653935,3681.651503155966
53,Male,85980,35,78,Yes,App,963.6151308367591,5413.282972368705
37,Male,149711,45,15,Yes,SMS,5107.796778199171,4467.058296061965
39,Male,144309,5,56,Yes,Phone,3757.370711969534,3368.7038420508406
44,Female,148100,20,60,No,Email,4283.842077381529,2774.540532837733
56,Male,87654,41,73,Yes,SMS,5655.017304142568,4889.624477647709
60,Female,150173,34,37,Yes,App,4266.102182451539,4440.6118598498415
26,Male,182692,37,95,Yes,App,9123.832147360248,7616.7674654506445
47,Female,54002,15,25,No,Email,8180.047085333167,1222.559396925497
44,Female,93848,49,7,No,App,4944.810770640846,1301.316710679733
29,Male,88634,49,45,Yes,Email,289.26816612805607,2948.884289786902
69,Male,160090,6,30,Yes,Email,5152.631621248892,3470.443437670143
46,Female,126670,15,52,No,Email,5789.610689273175,525.7655330483626
38,Female,35076,12,77,No,Email,9275.76308708762,3607.6304627237037
35,Male,175779,26,4,No,Phone,9426.165282543863,2819.1179689405985
58,Male,186654,44,26,Yes,SMS,9180.494295483242,6094.83904339508
24,Female,12845,27,4,No,Phone,7874.625683566842,2487.329749167779
27,Female,70601,1,11,Yes,Email,8699.19503606264,5736.908506624704
55,Female,143520,28,46,Yes,SMS,5137.281793047754,4300.525991474229
59,Male,79972,35,84,Yes,App,5021.718626145753,5891.2984930530365
29,Male,76473,8,6,No,Email,7133.416799242619,1833.833107218433
66,Female,24952,41,34,No,Email,5171.314810562493,2779.25757371259
61,Male,94580,38,29,No,Phone,1187.336267481597,123.45122867831424
67,Female,28238,40,55,No,SMS,7573.336544812202,2620.498363886868
54,Female,188555,9,46,No,Phone,3093.8696226184416,2355.371548938073
51,Female,132193,11,43,No,App,7414.807494094285,2950.065541929001
67,Female,70399,47,75,Yes,App,4785.426130345948,5795.437915787286
67,Female,44892,1,8,Yes,SMS,2449.083288182643,2421.2505119525545
45,Female,166548,36,35,No,App,368.08499163318186,1595.5768895236974
32,Female,137600,19,47,Yes,Phone,6054.750762819839,5655.620643858003
59,Male,68322,45,22,Yes,Phone,1036.400600787395,4393.956972546339
19,Female,45310,39,93,No,SMS,2872.9665200875334,3293.7017699830717
45,Female,188744,25,89,Yes,SMS,8608.356541561654,7306.553030830656
69,Female,94527,5,72,Yes,Email,739.0704938148651,3221.249116118701
28,Female,63101,14,1,No,SMS,6181.779496580147,3269.6839366069935
47,Male,56488,43,2,No,Email,611.5221713556973,273.01573861389636
33,Male,139870,29,44,No,Email,7485.187783738493,2605.3175607585254
43,Female,132817,9,63,Yes,SMS,2292.877873295407,3615.1120911219145
25,Male,167439,10,20,Yes,App,6250.682459396853,3905.392958638669
38,Male,50429,28,44,No,SMS,6851.07926025738,2039.9416859528171
27,Female,164706,30,81,No,Email,408.52883935157956,0.0
65,Male,30836,43,87,No,App,9191.986073539852,4178.97752116128
52,Male,40156,40,92,No,App,3750.051720781481,2922.2325641931866
43,Male,140938,48,87,Yes,App,792.0762025186145,2699.3338660052486
57,Male,171953,29,58,Yes,SMS,4809.050648419505,5218.295032887638
42,Male,159870,12,62,No,Email,5369.613147552569,2420.2645397912297
44,Male,72964,6,86,Yes,SMS,947.8789901907747,3809.3394501568646
48,Female,172108,36,36,No,Phone,7892.768128916497,2473.453303051282
48,Female,170082,24,26,No,SMS,7435.572669395808,1552.6281641781359
49,Female,68382,48,51,No,App,7586.410531156847,2408.5044886156797
68,Female,197245,35,18,Yes,App,5331.325535136244,5919.434391835077
51,Female,31502,37,47,No,SMS,7603.254937344106,2526.908013662394
57,Male,71532,48,16,Yes,Phone,9797.863726473273,4514.29212359233
46,Male,162749,42,1,No,SMS,293.3165735663579,0.0
49,Female,23681,11,29,Yes,Email,5361.505882984772,2435.582380362216
35,Female,43395,21,55,Yes,App,7075.444737482017,4658.593005260302
41,Female,149764,33,27,No,SMS,6992.840595642126,3874.9592199710605
28,Female,21067,9,18,No,Phone,7470.2794488317,3184.636058485738
31,Female,152288,38,1,Yes,SMS,3906.611115543276,4228.961157255984
33,Male,195416,28,37,Yes,Email,7212.907257331825,4417.387113789975
54,Female,139353,39,22,No,Email,63.606590221332304,145.35884598771196
31,Female,79875,15,91,No,Phone,3739.6799221717824,768.0199951010013
32,Female,120714,22,12,No,Email,4747.434844036274,960.0425824642414
29,Male,53496,5,33,No,Phone,8060.711828149656,3206.4372288603577
38,Female,87047,46,87,Yes,Phone,2766.3360959392603,5115.936446759157
31,Female,190757,4,62,Yes,SMS,8616.96363163305,7094.605002567098
45,Male,59022,49,77,No,Email,7482.146928576022,4753.102067888255
67,Male,183486,5,63,No,SMS,2975.4958843115996,3065.2612736201586
55,Male,124321,43,65,No,SMS,5543.436124928308,3792.116983533053
28,Male,15911,18,2,Yes,Email,1603.9081707811843,3025.8242165002102
55,Female,100497,36,50,Yes,Phone,5542.607028941217,5971.761445290959
53,Female,49813,35,46,No,Phone,1786.8225483109522,0.0
51,Female,126237,29,3,Yes,Email,436.58266306627945,1887.2166670934466
66,Female,102120,15,5,No,App,8968.34963935359,2442.908099741352
24,Male,65448,24,44,No,App,5269.00552051578,1865.3237423578148
51,Female,149931,23,45,Yes,Email,9562.426358085639,6024.5268967365855
39,Male,87826,4,47,No,App,694.4336706838772,714.1785640206415
